complaint,category
My study table is damaged,Furniture & Room Fixtures
The Bero lock is broken,Furniture & Room Fixtures
A floor tile is damaged,Building Maintenance
The wall paint is coming off,Building Maintenance
The room has not been cleaned properly,Cleaning & Hygiene
I cannot connect to the hostel Wi-Fi,Internet / Network
The room has not been mopped,Cleaning & Hygiene
The drinking water filter tap is damaged,Drinking Water
Switch is not working,Electrical
There is no water supply in my room,Water Supply
The drinking water is not suitable for drinking,Drinking Water
There is too much dust on the fan,Cleaning & Hygiene
Water is continuously dripping from the tap,Plumbing & Drainage
There is dust on the ceiling,Cleaning & Hygiene
The light is not working,Electrical
There is a rat problem in my room,Pest Control
The Wi-Fi connection is not available in my room,Internet / Network
I cannot lock my room door,Doors & Locks
There is no water supply right now,Water Supply
Fan speed is very low,Electrical
The internet is very slow in my room,Internet / Network
The drinking water filter has algae,Drinking Water
The door does not have a proper latch,Doors & Locks
The ventilation window is covered with dust,Cleaning & Hygiene
The Bero makes a strange noise when opened,Furniture & Room Fixtures
My room is dirty,Cleaning & Hygiene
There is algae inside the drinking water filter,Drinking Water
The water supply has stopped,Water Supply
There is no water coming in my bathroom,Water Supply
The Wi-Fi keeps disconnecting,Internet / Network
Waste has not been removed,Cleaning & Hygiene
The plug point is damaged,Electrical
The room door is not aligned properly,Doors & Locks
The drinking water filter is not working properly,Drinking Water
Garbage is lying near my room,Cleaning & Hygiene
I am not getting water in my bathroom,Water Supply
The wall has a water stain,Building Maintenance
The paint is peeling,Building Maintenance
Internet connection is unavailable,Internet / Network
Plug point is loose,Electrical
There is very little water coming from the bathroom tap,Plumbing & Drainage
The hostel Wi-Fi connection is unstable,Internet / Network
The balcony has not been cleaned,Cleaning & Hygiene
The study table is damaged,Furniture & Room Fixtures
I noticed a rat in the hostel room,Pest Control
The door does not close properly,Doors & Locks
Water comes very slowly from the tap,Plumbing & Drainage
Room light keeps turning on and off,Electrical
The paint on the wall is damaged,Building Maintenance
The chair is shaky,Furniture & Room Fixtures
The bathroom tap is leaking,Plumbing & Drainage
Water supply is not available,Water Supply
There is no hot drinking water,Drinking Water
The hostel internet is not working,Internet / Network
I saw a rat inside my room,Pest Control
The bathroom drain is clogged,Plumbing & Drainage
The water pressure from my tap is very low,Plumbing & Drainage
The room door cannot be locked,Doors & Locks
The room door lock is damaged,Doors & Locks
The bathroom is not clean,Cleaning & Hygiene
The mosquito net is torn,Furniture & Room Fixtures
The voltage in my room is very low,Electrical
Socket has no power,Electrical
One of the floor tiles is cracked,Building Maintenance
The table has a splinter,Furniture & Room Fixtures
The door is misaligned,Doors & Locks
There is no cold drinking water,Drinking Water
The table has dents,Furniture & Room Fixtures
The mosquito net is damaged,Furniture & Room Fixtures
The door frame is damaged,Building Maintenance
There is no power in the wall socket,Electrical
There is low voltage in my room,Electrical
Cold drinking water is not available,Drinking Water
There is a rat in my room,Pest Control
The cupboard lock is damaged,Furniture & Room Fixtures
Garbage has not been collected,Cleaning & Hygiene
Switch board is damaged,Electrical
A part of the table has a splinter,Furniture & Room Fixtures
I cannot lock the window,Doors & Locks
There is dust near the ventilation window,Cleaning & Hygiene
The window cannot be locked,Doors & Locks
The sink is dirty and has algae,Cleaning & Hygiene
The drinking water is dirty,Drinking Water
The drain is blocked,Plumbing & Drainage
There are spider webs on the ceiling,Cleaning & Hygiene
There is damage to the bathroom wall,Building Maintenance
Electrical power is unstable in my room,Electrical
The switch is damaged,Electrical
There is no drinking water,Drinking Water
The table is broken,Furniture & Room Fixtures
Drinking water is not available,Drinking Water
The bathroom drain is overflowing,Plumbing & Drainage
There are spider webs in my room,Cleaning & Hygiene
The hostel Wi-Fi is not working,Internet / Network
There is a damaged area on the wall,Building Maintenance
There is algae in the sink,Cleaning & Hygiene
The balcony is not clean,Cleaning & Hygiene
There are rats near my room,Pest Control
Part of the bathroom wall is broken,Building Maintenance
There is a water stain on the wall,Building Maintenance
The floor tile is broken,Building Maintenance
The Bero is making a screeching noise,Furniture & Room Fixtures
The filter tap is not working,Drinking Water
Water is not draining properly,Plumbing & Drainage
There is a water leak in my bathroom,Plumbing & Drainage
Light is flickering,Electrical
There is no latch on the door,Doors & Locks
