complaint,severity
"Fan is slightly slow","Low"
"Fan speed is a little low","Low"
"Ceiling fan rotates slowly","Low"
"Fan is making less air than usual","Low"
"No cold drinking water","Low"
"Cold drinking water is unavailable","Low"
"Drinking water is not cold enough","Low"
"No hot drinking water","Low"
"Hot drinking water is unavailable","Low"
"Drinking water is not hot enough","Low"
"Bathroom needs cleaning","Low"
"Bathroom is dirty","Low"
"Room needs cleaning","Low"
"My room is dirty","Low"
"Spider webs are on the ceiling","Low"
"There are cobwebs in my room","Low"
"Ceiling has spider webs","Low"
"There is dust on the ceiling","Low"
"Ceiling is dusty","Low"
"Ventilation window has dust","Low"
"There is dust on the fan","Low"
"Fan blades are dusty","Low"
"Room has not been mopped","Low"
"Floor needs mopping","Low"
"Balcony needs cleaning","Low"
"Balcony is dirty","Low"
"Garbage collection is slightly delayed","Low"
"Bero makes a small squeaking noise","Low"
"Cupboard is making a squeaky sound","Low"
"Mosquito net has a small tear","Low"
"Mosquito net is torn","Low"
"Table has small dents","Low"
"There are dents on the study table","Low"
"Paint is peeling slightly","Low"
"Wall paint is coming off","Low"
"The Bero makes a strange noise","Low"
"Table surface has minor damage","Low"
"Light is flickering","Medium"
"Room light keeps blinking","Medium"
"Light turns on and off repeatedly","Medium"
"Switch is not working","Medium"
"Room switch stopped working","Medium"
"Switch works intermittently","Medium"
"Socket has no power","Medium"
"Power is not coming to the socket","Medium"
"One electrical outlet is not working","Medium"
"Heater is not working","Medium"
"Room heater stopped working","Medium"
"Heater does not turn on","Medium"
"Voltage is low in my room","Medium"
"Room has low voltage","Medium"
"Voltage is fluctuating slightly","Medium"
"Water is slowly leaking from a tap","Medium"
"There is a small water leak","Medium"
"Pipe is leaking slowly","Medium"
"Bathroom tap has low water flow","Medium"
"Water pressure from the tap is low","Medium"
"Tap flow is weak","Medium"
"Drain is clogged","Medium"
"Bathroom drain is blocked","Medium"
"Water is draining slowly","Medium"
"No drinking water is available at the dispenser","Medium"
"Drinking water dispenser is empty","Medium"
"Drinking water filter knob is broken","Medium"
"Filter knob is not working","Medium"
"Drinking water tap is not working","Medium"
"Filter tap is faulty","Medium"
"Garbage has not been collected","Medium"
"Trash collection is delayed","Medium"
"There is algae in the sink","Medium"
"Sink has algae buildup","Medium"
"Bero lock is broken","Medium"
"Cupboard lock is not working","Medium"
"Table is damaged","Medium"
"Study table is broken","Medium"
"Chair is broken","Medium"
"Chair is damaged","Medium"
"Chair is shaky","Medium"
"Chair wobbles when sitting","Medium"
"There is a water stain on the wall","Medium"
"Wall has a damp stain","Medium"
"Floor tile is cracked","Medium"
"There is a crack in the floor tile","Medium"
"Door frame is damaged","Medium"
"Door frame needs repair","Medium"
"Bathroom wall has a small crack","Medium"
"Bathroom wall is slightly damaged","Medium"
"Window cannot be locked","Medium"
"Window lock is not working","Medium"
"There is no latch on the door","Medium"
"Door latch is missing","Medium"
"Door is misaligned","Medium"
"Room door is difficult to close","Medium"
"Hostel Wi-Fi is not available","Medium"
"Wi-Fi is not working in my room","Medium"
"Internet connection is unavailable","Medium"
"Socket is producing sparks","High"
"Electrical socket is sparking","High"
"There are sparks coming from the plug point","High"
"Switch board is badly damaged","High"
"Electrical board is broken and exposed","High"
"Plug point is loose and coming out of the wall","High"
"Socket is hanging loose from the wall","High"
"There is smoke coming from the socket","High"
"Burning smell is coming from the electrical outlet","High"
"Voltage is dangerously fluctuating","High"
"Power fluctuation is severe","High"
"Water pipe has burst and water is flooding the room","High"
"Bathroom is flooding due to a major leak","High"
"Large amount of water is leaking into the room","High"
"There is no water supply anywhere in the block","High"
"The entire block has no water","High"
"Hostel water supply has completely stopped","High"
"Drinking water is dirty and unsafe","High"
"Dirty water is coming from the drinking filter","High"
"Drinking water appears contaminated","High"
"Algae is growing heavily inside the drinking water filter","High"
"Drinking filter is full of algae","High"
"Table has a sharp splinter sticking out","High"
"Sharp wood is sticking out of the table","High"
"Floor tile is completely broken and dangerous","High"
"Broken tile is creating a safety hazard","High"
"Door cannot be locked","High"
"Room door cannot be secured","High"
"The main room door lock is broken","High"
"There is a rat inside my room","High"
"A rat entered my room","High"
"Rats are entering my room","High"
"Multiple rats are present near my room","High"
"Bathroom wall has a large damaged section","High"
"Part of the bathroom wall has collapsed","High"
